"100","101741",
"200","240994",
"300","391467",
"400","566172",
"500","779466",
"600","1003517",
"700","1281846",
"800","1580145",
"900","1848968",
"1000","2115262",
"1100","2397185",
"1200","2674041",
"1300","2874945",
"1400","3075523",
"1500","3284737",
"1600","3654937",
"1700","3967248",
"1800","4255021",
"1900","4630139",
"2000","5002436",
"2100","5435458",
